Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),TZ_001:Zone People Occupant Count [](TimeStep:ON),TZ_001:Zone People Sensible Heating Rate [W](TimeStep),TZ_001:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),DH:District Heating Hot Water Energy [KJ](TimeStep:ON),DH:District Heating Hot Water Rate [KW](TimeStep:ON),DH:District Heating Inlet Temperature [C](TimeStep:ON),,class,,,,
 01/01  00:15:00,7.2725,0,0,1,80.91248243,0,500406.3132,556.0070147,50,,50,50,1,1,392
 01/01  00:30:00,6.065,0,0,1,79.74053521,0,474024.5772,526.6939746,52,69,50,51,0,0,0
 01/01  00:45:00,4.8575,0,0,1,78.22002267,0,365448.8766,406.0543073,56,50,50,52,0,1,0
 01/01  01:00:00,3.65,0,0,1,77.89551913,0,276488.1718,307.2090798,59,,50,53,0,0,0
 01/01  01:15:00,3.8375,0,0,1,77.61847805,0,224995.4725,249.9949695,61,,61,54,0,0,0
 01/01  01:30:00,4.025,0,0,1,77.03666411,0,196552.6553,218.3918392,62,,62,55,0,0,0
 01/01  01:45:00,4.2125,0,0,1,77.08543183,0,200673.276,222.9703066,62,,62,56,0,1,0
 01/01  02:00:00,4.4,0,0,1,76.95957017,0,199227.9614,221.3644016,62,,62,57,0,0,0
 01/01  02:15:00,4.5875,0,0,1,77.12244552,0,199818.5646,222.0206273,62,,62,58,70,70,0
 01/01  02:30:00,4.775,0,0,1,76.94481371,0,200681.2644,222.9791827,62,,62,59,388,319,0
 01/01  02:45:00,4.9625,0,0,1,77.03146076,0,197956.366,219.9515178,62,,62,60,1415,1027,1027
 01/01  03:00:00,5.15,0,0,1,76.8055335,0,199052.5823,221.1695359,62,,62,61,3317,1903,1903
 01/01  03:15:00,5.3375,0,0,1,76.87175596,0,196526.0201,218.3622446,62,,62,62,6533,3223,3223
 01/01  03:30:00,5.525,0,0,1,77.12828425,0,198473.2121,220.5257912,62,,62,63,10417,3885,3885
